,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
0,1.0,2004,8313,43508,2.86,198,40,0,264764.0,2004.0,4048.0,0.27,255.905,95.0,39.0,76.0,,,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,10640.5599365,1.07818182558,24.8999999653,274171.756138,125.0
25,153.0,2004,21022,275739,12.61,1987,595,69,263826.0,2004.0,837.0,0.293,113.07,95.0,79.0,73.0,,13.0,2.0,15.22,15.32,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/11/1998 0:00:00,6/8/1998 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1998.0,2013.0,106965.0,1948.0,2006.0,0.72,1982763.0,2.29,0.75,ACP,ACP,Unknown,ACP,1998.0,ACP,0.15,2.29,0.75,BA,8751.70996093,1.04714283986,24.9957147326,650949.401572,81.0
39,262.0,2004,13536,171057,11.03,1052,338,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1003.0,2004,12215,82362,5.88,471,225,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1004.0,2004,14234,98203,6.29,625,249,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1005.0,2004,14091,97035,6.29,619,247,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1040.0,2004,12365,127166,9.82,913,262,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1065.0,2004,15259,232669,10.51,696,790,117,263846.0,2004.0,920.0,0.313,72.468,94.0,88.0,71.0,,13.0,2.0,106.4,106.5,0.0,ACP,0.2,North Central,Rural Other Freeway/Expressway,11/29/2007 0:00:00,8/9/2007 0:00:00,RECONSTR EXISTING ALIGN,G2,ACP CLASS 1/2IN PG64-28,0.4,0.0,,0.0,1.6,2007.0,2013.0,234020.0,1964.0,2007.0,0.06,1360751.0,2.03,0.7,ACP,ACP,ACP,ACP,1999.0,ACP,0.4,2.03,0.7,Other,2433.41000366,-4.85666664442,31.3700002035,1665813.19353,164.0
115,1189.0,2004,17101,165162,7.7,770,479,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.0,2005,8337,43508,2.86,198,40,0,280428.0,2005.0,4048.0,0.328,236.349,95.0,45.0,70.0,,,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,11562.1599121,0.994166673472,24.8900000254,302899.119509,137.0
